School ID,School Short Name,School Name,Street Address,City,State,ZIP,Phone Number,Website,Managed By Network,Geographic Network,School Track,Overall Rating,On Probation,Years on Probation,NWEA or Scantron,Growth Overall Level,Growth Overall Reading and Math,Reading Growth Grade 3,Reading Growth Grade 4,Reading Growth Grade 5,Reading Growth Grade 6,Reading Growth Grade 7,Reading Growth Grade 8,Reading Growth All Grades,Math Growth Grade 3,Math Growth Grade 4,Math Growth Grade 5,Math Growth Grade 6,Math Growth Grade 7,Math Growth Grade 8,Math Growth All Grades,Student Performance Level,Student Performance Reading and Math,Reading Performance Grade 3,Reading Performance Grade 4,Reading Performance Grade 5,Reading Performance Grade 6,Reading Performance Grade 7,Reading Performance Grade 8,Reading Performance All Grades,Math Performance Grade 3,Math Performance Grade 4,Math Performance Grade 5,Math Performance Grade 6,Math Performance Grade 7,Math Performance Grade 8,Math Performance All Grades,Reading Growth African American,Reading Growth Hispanic,Reading Growth White,Reading Growth Students with Disabilities,Reading Growth English Language Learners,Reading Growth Free and Reduced Lunch,Math Growth African American,Math Growth Hispanic,Math Growth White,Math Growth Students with Disabilities,Math Growth English Language Learners,Math Growth Free and Reduced  Lunch,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year,X Coordinate,Y Coordinate,Latitude,Longitude,Location
609808,Haley,Alex Haley Elementary Academy,11411 S Eggleston Ave,Chicago,IL,60628,(773) 535-5340,http://www.haley.cps.k12.il.us,Rock Island Elementary Network,Rock Island Elementary Network,Standard,Level 2,No,0,Scantron,Average,45.2%,35.3%,41%,25.5%,40.6%,48.8%,59%,40.2%,44.6%,71.1%,40.7%,35.9%,64.3%,61.5%,50.3%,Far Below Average,22%,16.9%,19.5%,17.2%,9%,33.3%,40%,21%,10.1%,23.8%,23.2%,14.9%,40%,40%,23.1%,40.2%,,,5.9%,,40%,50.3%,,,55.9%,,50.2%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,93.3%,87.5%,4.8,3.6,94.9%,94.7%,94.7%,94.1%,No,No,,1175378.7137260844,1829178.5731586677,-87.63359476,41.68663682,"(-87.63359476, 41.68663682)"
609809,Brentano,Lorenz Brentano Math & Science Academy ES,2723 N Fairfield Ave,Chicago,IL,60647,(773) 534-4100,http://brentano.cps.k12.il.us/,Fullerton Elementary Network,Fullerton Elementary Network,Standard,Level 3,Yes,1,Scantron,Average,51.9%,51.3%,51.9%,54.3%,63.6%,44.1%,48.7%,52.2%,71.8%,73.3%,61.1%,33.3%,37.1%,35%,51.6%,Below Average,40.6%,27.9%,32.3%,31.6%,47.1%,36.1%,35.9%,34.8%,25.6%,74.2%,55.3%,38.2%,52.8%,40%,46.4%,,53.2%,,,,54.4%,,52.6%,,,,51.5%,Organized,Strong,Neutral,Neutral,Neutral,Neutral,Strong,55.8%,35.8%,2.3,1.9,94.7%,93.3%,97.7%,97%,Pending,No,,1157602.7247160932,1918079.5372619035,-87.69625758,41.93097047,"(-87.69625758, 41.93097047)"
609810,Bridge,Norman A Bridge Elementary School,3800 N New England Ave,Chicago,IL,60634,(773) 534-3718,http://www.bridge.cps.k12.il.us,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,NWEA,Far Above Average,72.2%,47.6%,56.8%,71.6%,76%,67.7%,69.3%,64.8%,76.7%,87.7%,76.1%,82.3%,78.3%,76%,79.4%,Above Average,59.4%,53.3%,49.4%,60.2%,58.3%,57.1%,71.1%,57.9%,58.7%,56.5%,55.7%,71.4%,63%,60.5%,61%,,65.6%,64.7%,58.3%,70.2%,66.8%,,79.1%,81.7%,72.5%,81.3%,80.8%,Partially Organized,Not Enough Data,Neutral,Weak,Not Enough Data,Not Enough Data,Strong,18.8%,18.6%,1.5,2,95.6%,95.2%,96.6%,96.1%,No,No,,1129684.0561537559,1924513.931856236,-87.79870722,41.94915063,"(-87.79870722, 41.94915063)"
609811,Bright,Orville T Bright Elementary School,10740 S Calhoun Ave,Chicago,IL,60617,(773) 535-6215,,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Standard,Level 3,Yes,4,Scantron,Above Average,60.3%,69.2%,50%,60.7%,73.3%,82.1%,57.1%,66.7%,71.8%,48%,53.6%,57.4%,50%,34.5%,54.1%,Far Below Average,29.3%,26.2%,16%,36.7%,35.4%,46.7%,44.8%,34.3%,21.4%,19.2%,26.7%,31.3%,16.7%,26.7%,24.3%,68.3%,63.3%,,57.5%,,67%,51.7%,61.2%,,54.8%,,53.8%,Partially Organized,Weak,Neutral,Strong,Weak,Neutral,Weak,61.4%,73%,3,2.9,92.2%,91.3%,95.3%,95.6%,No,No,,1194858.6443429915,1834119.777740956,-87.56212104,41.69973969,"(-87.56212104, 41.69973969)"
609812,"Brown, W",William H Brown Elementary School,54 N Hermitage Ave,Chicago,IL,60612,(773) 534-7250,http://www.wbrownschool.org,Fulton Elementary Network,Fulton Elementary Network,Standard,Level 3,Yes,6,Scantron,Average,52.7%,40%,38.5%,45.5%,30.4%,41.2%,68%,45.2%,46.7%,84.6%,45.5%,78.3%,70.6%,37.5%,60.2%,Below Average,33.8%,31.3%,7.1%,36.4%,25%,27.8%,36%,27.8%,31.3%,21.4%,45.5%,37.5%,55.6%,44%,39.8%,44.1%,,,,,45.2%,60.4%,,,,,60.2%,Well-organized,Neutral,Very Strong,Very Strong,Very Strong,Strong,Neutral,57.1%,64.2%,1.8,2.2,92.8%,91.6%,94.7%,96.6%,No,No,,1164687.1088943253,1900646.995979243,-87.67071879,41.88298698,"(-87.67071879, 41.88298698)"
609813,Brownell,Charles S Brownell Elementary School,6741 S Michigan Ave,Chicago,IL,60637,(773) 535-3030,http://www.brownellschool.org,Skyway Elementary Network,Skyway Elementary Network,Track E,Level 3,Yes,1,Scantron,Average,50.2%,61.5%,48.6%,40%,58.6%,,,52.6%,47.4%,41.2%,44.8%,58.6%,,,47.7%,Far Below Average,22.6%,22%,11.1%,12.9%,13.3%,,,15.2%,24.4%,22.9%,30%,46.7%,,,30.1%,52.6%,,,,,52.3%,47.7%,,,,,48.1%,Partially Organized,Weak,Strong,Strong,Very Weak,Very Weak,Neutral,100%,97.4%,2.2,2.1,92.8%,91.3%,95.5%,95.3%,No,No,,1178368.9864139438,1860177.5422590545,-87.62170972,41.77163474,"(-87.62170972, 41.77163474)"
609815,Bouchet,Edward A Bouchet Math & Science Academy ES,7355 S Jeffery Blvd,Chicago,IL,60649,(773) 535-0501,,Skyway Elementary Network,Skyway Elementary Network,Standard,Level 2,Yes,10,Scantron,Above Average,67.6%,48.6%,65.7%,63%,88.6%,77%,69.5%,68.6%,46.7%,66.7%,63.3%,72%,86.7%,67.2%,66.6%,Far Below Average,28.8%,23.3%,28.8%,20.3%,26.6%,47.1%,46.9%,31.5%,17.6%,30.6%,24.6%,13.6%,50%,23.8%,26.1%,68.4%,,,69%,,68.8%,66.7%,,,69.5%,,65.9%,Well-organized,Strong,Neutral,Very Strong,Very Strong,Very Strong,Weak,45.2%,43.8%,2.4,1.9,92.9%,92%,95.9%,95.7%,No,No,,1190861.9778949278,1856358.0384315383,-87.57603849,41.76086093,"(-87.57603849, 41.76086093)"
609817,Budlong,Lyman A Budlong Elementary School,2701 W Foster Ave,Chicago,IL,60625,(773) 534-2591,http://www.budlongschool.com,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,63.9%,35.6%,61.4%,61.5%,66.7%,50.8%,76.6%,59.2%,75.4%,72.9%,83.1%,54.5%,62.9%,63.5%,68.7%,Above Average,56%,59%,59.2%,65.2%,54.9%,58.1%,71.9%,61.3%,64.4%,56.3%,65.2%,34.7%,41.3%,44.4%,50.8%,,59.1%,56.2%,,55.6%,58.9%,,66.3%,68.9%,,72.8%,68.1%,Partially Organized,Neutral,Neutral,Neutral,Neutral,Weak,Strong,22.4%,24.6%,2.2,1.4,95.4%,93.1%,95.7%,96.1%,No,No,,1157387.1734086073,1934388.0865645641,-87.69660443,41.97572652,"(-87.69660443, 41.97572652)"
609818,Burbank,Luther Burbank Elementary School,2035 N Mobile Ave,Chicago,IL,60639,(773) 534-3000,,Fullerton Elementary Network,Fullerton Elementary Network,Standard,Level 2,No,0,Scantron,Average,51%,40.7%,58.8%,42.2%,49.5%,56.8%,65.3%,52.7%,45.1%,58.8%,49.4%,34.4%,58.5%,49%,49.4%,Below Average,37.4%,33.3%,34.9%,27.4%,34.7%,39%,56.1%,37.8%,30.2%,52.8%,36.9%,23.2%,24%,53.1%,37%,41.2%,53.4%,,,39.3%,52.7%,33.3%,51.3%,,,55.7%,49.3%,Well-organized,Strong,Strong,Strong,Very Strong,Very Strong,Strong,41.6%,48.7%,3.4,2.6,95.2%,95.4%,95.5%,94.1%,Pending,No,,1134122.521140831,1913042.046218948,-87.78266267,41.91759334,"(-87.78266267, 41.91759334)"
609819,Burke,Edmond Burke Elementary School,5356 S King Dr,Chicago,IL,60615,(773) 535-1325,http://www.burke.cps.k12.il.us,Burnham Park Elementary Network,Burnham Park Elementary Network,Track E,Level 3,Yes,6,NWEA,Average,53.1%,68.4%,,55.6%,50%,54.5%,21.1%,52.6%,45%,,50%,38.5%,75%,50%,53.5%,Far Below Average,21.7%,18.2%,58.3%,21.9%,11.1%,18.8%,24%,23.2%,8.3%,40%,12.1%,11.1%,28.6%,33.3%,20.3%,52.6%,,,,,51.1%,53.5%,,,,,53.7%,Partially Organized,Not Enough Data,Weak,Very Weak,Not Enough Data,Not Enough Data,Weak,58.3%,59%,2.6,3,89.3%,88.9%,95.5%,95.4%,No,No,,1179801.469157422,1869357.5233570456,-87.61617809,41.79679285,"(-87.61617809, 41.79679285)"
609820,Burley,Augustus H Burley Elementary School,1630 W Barry Ave,Chicago,IL,60657,(773) 534-5475,http://www.burley.cps.k12.il.us,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,57.1%,68.9%,50.9%,49.1%,50%,53.7%,67.4%,56.6%,77%,60.7%,36.8%,63%,42.6%,65.2%,57.6%,Far Above Average,72.3%,75.8%,70.9%,71.9%,68.5%,77.8%,71.7%,72.9%,82%,75%,61.4%,72.2%,70.4%,67.4%,71.6%,,46%,68.1%,40.9%,,39.5%,,51.3%,63.5%,47.8%,,51.1%,Well-organized,Very Strong,Very Strong,Strong,Very Strong,Strong,Very Strong,,,,,96.5%,96.8%,95%,95.5%,No,No,,1164768.164269006,1920682.8308331682,-87.66985204,41.93796493,"(-87.66985204, 41.93796493)"
609821,Burnham,Burnham Elementary Inclusive Academy,1903 E 96th St,Chicago,IL,60617,(773) 535-6530,http://www.burnham.cps.k12.il.us,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Standard,Level 2,No,0,Scantron,Above Average,66%,71.4%,60.6%,76.9%,51.5%,60%,63.9%,64.2%,76.2%,65.6%,66.7%,66.7%,60%,72.2%,67.7%,Above Average,56.4%,50%,39.4%,48.7%,51.4%,53.8%,51.4%,49%,50%,59.4%,56.4%,71.4%,61.5%,78.4%,63.9%,64.5%,,,,,63.7%,67.6%,,,,,67.4%,Well-organized,Strong,Very Strong,Very Strong,Very Strong,Very Strong,Strong,43%,77.4%,1.3,1.1,95.5%,95.3%,96.9%,96.5%,Pending,No,,1190566.4955579808,1841647.9529429425,-87.57759489,41.72050221,"(-87.57759489, 41.72050221)"
609826,Castellanos,Rosario Castellanos Elementary School,2524 S Central Park Ave,Chicago,IL,60623,(773) 534-1620,,Pilsen-Little Village Elementary Network,Pilsen-Little Village Elementary Network,Track E,Level 2,No,0,Scantron,Above Average,58.6%,,55.1%,50.6%,57%,59.3%,79.7%,59.5%,,79.5%,47.1%,38.6%,61.2%,70%,57.7%,Below Average,39.9%,,26.3%,23.1%,22.9%,29.7%,50%,29.3%,,58.8%,34.1%,38.5%,56%,74.3%,50.6%,,59.7%,,69.4%,67.9%,59.6%,,58.1%,,55.6%,66.7%,57.9%,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Weak,6.7%,17.8%,4.4,5.4,96.3%,96.5%,96.9%,96.7%,No,No,,1152737.2794393043,1886876.1276291911,-87.71496352,41.84544296,"(-87.71496352, 41.84544296)"
609827,Burnside,Burnside Elementary Scholastic Academy,650 E 91st Pl,Chicago,IL,60619,(773) 535-3300,http://www.burnsideacademy.net/,Skyway Elementary Network,Skyway Elementary Network,Standard,Level 2,No,0,Scantron,Average,53.7%,45.9%,40.9%,57.5%,59.5%,47.5%,62.3%,52.5%,44.9%,61.3%,58.3%,58.7%,56.7%,48.4%,54.9%,Below Average,42.5%,32.9%,42%,42.1%,50%,40%,39.3%,41.3%,22.5%,50%,46.1%,51.1%,50.8%,43.5%,43.7%,52.6%,,,26.3%,,51.5%,54.7%,,,40.5%,,54.8%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,59.8%,45.1%,2.2,2,94.9%,94.2%,94.9%,94.2%,No,No,,1182385.6505293122,1844494.8444313789,-87.60747108,41.72850759,"(-87.60747108, 41.72850759)"
609828,Burr,Jonathan Burr Elementary School,1621 W Wabansia Ave,Chicago,IL,60622,(773) 534-4090,http://www.burrschool.org,Fulton Elementary Network,Fulton Elementary Network,Track E,Level 1,No,0,Scantron,Above Average,55.1%,58.3%,33.3%,71%,54.2%,42.9%,53.6%,54.1%,54.2%,72.2%,74.2%,54.2%,42.9%,39.3%,56.2%,Above Average,56.8%,45.8%,61.1%,45.2%,50%,54.5%,46.4%,49.7%,58.3%,83.3%,61.3%,54.2%,54.5%,75%,63.9%,,51.8%,,,,55.5%,,57.1%,,,,58.6%,Organized,Strong,Strong,Neutral,Neutral,Neutral,Strong,93.3%,,1.5,,95.9%,94.8%,96.9%,97.4%,Yes,No,,1165168.4643544313,1911344.1805716518,-87.66864691,41.91233061,"(-87.66864691, 41.91233061)"
609829,Burroughs,John C Burroughs Elementary School,3542 S Washtenaw Ave,Chicago,IL,60632,(773) 535-7226,http://www.jcburroughs.cps.k12.il.us,Pershing Elementary Network,Pershing Elementary Network,Track E,Level 1,No,0,NWEA,Far Above Average,70.1%,59.6%,53.3%,87.5%,63%,73.3%,67.7%,67.6%,78.3%,78.3%,78%,50%,77.3%,74.2%,72.6%,Above Average,63%,66%,50%,63.5%,69.6%,60%,69.7%,62.8%,73.9%,50%,76.9%,67.4%,45.7%,63.6%,63.2%,,67.9%,,,,67.5%,,73.6%,,,,72.4%,Organized,Strong,Weak,Neutral,Strong,Strong,Neutral,,100%,,2.3,95.6%,95.1%,96.1%,96.3%,Yes,No,,1158904.8768314132,1880879.3794268914,-87.69249318,41.8288631,"(-87.69249318, 41.8288631)"
609830,Brunson,Milton Brunson Math & Science Specialty ES,932 N Central Ave,Chicago,IL,60651,(773) 534-6025,,Austin-North Lawndale Elementary Network,Austin-North Lawndale Elementary Network,Track E,Level 3,Yes,10,Scantron,Below Average,44%,44.6%,37.3%,45.6%,53.2%,53.8%,43.2%,45.5%,50.9%,45.8%,38.6%,54%,28.2%,31.8%,42.4%,Far Below Average,22.2%,16.1%,17.8%,24.1%,37.7%,18.4%,28.1%,23.3%,21%,21.5%,20%,32.1%,4.1%,25.4%,21.1%,45.8%,,,58.1%,,45.4%,42.2%,,,48.4%,,42.7%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Weak,72.3%,81.3%,2.4,2.9,91.3%,90.8%,95%,95%,No,No,,1138802.7104289918,1905814.9573505714,-87.76564297,41.89767761,"(-87.76564297, 41.89767761)"
609832,Byrne,Michael M Byrne Elementary School,5329 S Oak Park Ave,Chicago,IL,60638,(773) 535-2170,http://www.byrne.cps.k12.il.us,Midway Elementary Network,Midway Elementary Network,Standard,Level 2,No,0,Scantron,Above Average,66.7%,65.4%,58.2%,56.6%,70.4%,65.8%,69.9%,64.5%,78%,64.6%,69.5%,72.5%,64.8%,66.3%,68.9%,Above Average,59.1%,51.9%,59.4%,43.5%,61.4%,69.6%,55.8%,57%,55.6%,59.4%,63.1%,63.1%,75.3%,50%,61.2%,,62.7%,66.1%,57.4%,,58.7%,,67.4%,70.2%,74.1%,,64.9%,Organized,Strong,Neutral,Neutral,Neutral,Neutral,Strong,14.4%,14.6%,1.7,2,94.6%,95.4%,95.8%,95.9%,No,No,,1131997.0207873716,1868365.1694202947,-87.79150778,41.79503029,"(-87.79150778, 41.79503029)"
609833,Caldwell,Charles P Caldwell Academy of Math & Science ES,8546 S Cregier,Chicago,IL,60617,(773) 535-6300,http://www.caldwell.cps.k12.il.us,Skyway Elementary Network,Skyway Elementary Network,Track E,Level 2,Yes,5,Scantron,Below Average,44.7%,31%,27.3%,52.6%,37.5%,57.7%,65.6%,47.3%,34.5%,30.4%,72.2%,46.4%,31.4%,53.1%,42%,Below Average,33.2%,37.9%,18.5%,34.8%,14.7%,29.3%,48.6%,30.6%,30%,18.5%,47.6%,26.7%,40.4%,47.2%,35.8%,48.1%,,,35.1%,,48.4%,41.9%,,,22.5%,,42.4%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Weak,97%,83.8%,3.1,2.3,92.7%,91.7%,94.7%,93.6%,No,No,,1189641.2050087082,1848463.6266414744,-87.58076569,41.73922735,"(-87.58076569, 41.73922735)"
609834,Little Village,Little Village Elementary School,2620 S Lawndale Ave,Chicago,IL,60623,(773) 534-1880,http://www.lva.cps.k12.il.us,Pilsen-Little Village Elementary Network,Pilsen-Little Village Elementary Network,Track E,Level 2,No,0,Scantron,Average,49.4%,37.5%,51.4%,44.3%,63.3%,53.8%,50%,48.6%,49%,56.8%,36.7%,49%,48.1%,65.5%,50.1%,Below Average,37.4%,24%,37.3%,27.8%,40%,45.7%,34.5%,34.2%,30.2%,32%,40%,42%,51.3%,53.4%,40.5%,,48.4%,,31.3%,40.8%,48.7%,,50.1%,,37.5%,38.8%,50.2%,Organized,Neutral,Neutral,Strong,Neutral,Neutral,Neutral,46.2%,54.2%,3.3,2.8,96.7%,96%,96.7%,96%,No,No,,1152090.2174702752,1886231.1728689277,-87.71735516,41.84368588,"(-87.71735516, 41.84368588)"
609885,Dewey,Dewey Elementary Academy of Fine Arts,5415 S Union Ave,Chicago,IL,60609,(773) 535-1666,,Pershing Elementary Network,Pershing Elementary Network,Standard,Level 3,Yes,5,NWEA,Not Enough Data,,,,,,,,,,,,,,,,Far Below Average,12.7%,20.8%,7.1%,0%,13.8%,6.7%,15.4%,11.1%,17.9%,10.7%,22.2%,6.7%,21.4%,5.9%,14.1%,,,,,,,,,,,,,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Weak,75.4%,86.8%,2.6,2.5,90.7%,86.2%,95.5%,95.2%,No,No,,1172596.050102427,1868881.7911816477,-87.642615,41.7956493,"(-87.642615, 41.7956493)"
609835,Cameron,Daniel R Cameron Elementary School,1234 N Monticello Ave,Chicago,IL,60651,(773) 534-4290,http://www.cameronschool.org,Garfield-Humboldt Elementary Network,Garfield-Humboldt Elementary Network,Track E,Level 2,Yes,6,Scantron,Above Average,67.1%,38.8%,50.7%,70.8%,66.7%,55.9%,65.9%,57.6%,69.4%,64.1%,79.7%,92.3%,80.3%,72.1%,76.5%,Below Average,41.9%,26.8%,23.6%,34.3%,29.9%,31.7%,43.8%,30.9%,34.7%,42.6%,63.9%,69.3%,54%,50.9%,52.7%,51.3%,62.3%,,19.5%,60.5%,57.3%,72.1%,79.3%,,88.2%,69%,76.7%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Weak,31.3%,64.1%,2.2,2.5,92.6%,94.3%,96.2%,96.1%,No,No,,1151767.546220469,1908130.0675486396,-87.71796315,41.90378521,"(-87.71796315, 41.90378521)"
609836,Canty,Arthur E Canty Elementary School,3740 N Panama Ave,Chicago,IL,60634,(773) 534-1238,http://www.cantyschool.org,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 2,No,0,Scantron,Above Average,58.1%,63.3%,56.8%,51.9%,58.6%,59.3%,58.3%,58.2%,59.2%,58.9%,53.1%,60.6%,63%,54.2%,58.1%,Above Average,65.4%,50%,55.3%,48.2%,68%,61.8%,62.5%,57.4%,60%,77.3%,74.7%,75%,76.4%,81.9%,73.4%,,57%,60.9%,46.4%,,54.4%,,51.7%,62%,53.6%,,58.5%,Organized,Strong,Strong,Neutral,Neutral,Weak,Strong,9.1%,33.3%,3.5,2.4,96.1%,96.3%,96.1%,96.4%,No,No,,1121355.6984873116,1924041.4123304642,-87.8293319,41.94799245,"(-87.8293319, 41.94799245)"
609837,Carnegie,Andrew Carnegie Elementary School,1414 E 61st Pl,Chicago,IL,60637,(773) 535-0530,http://www.carnegie.cps.k12.il.us/,Burnham Park Elementary Network,Burnham Park Elementary Network,Standard,Level 3,Yes,2,NWEA,Average,46.4%,41.4%,50%,54.4%,52.6%,35.1%,51.3%,48%,56.8%,48.5%,47.9%,37.5%,31.6%,45.5%,45%,Below Average,39.1%,38.8%,59.4%,35.5%,51.3%,44.4%,46.3%,45.8%,35%,46.4%,27.8%,25.6%,21.9%,38.3%,32.5%,48%,,,,,47.1%,44.5%,,,,,44.2%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,75.5%,72.7%,3.5,3.7,94.6%,94.1%,94.4%,94.8%,No,No,,1186764.6464691937,1864534.4726061535,-87.59079649,41.78339577,"(-87.59079649, 41.78339577)"
609839,Carroll,Carroll-Rosenwald Specialty Elementary School,2929 W 83rd St,Chicago,IL,60652,(773) 535-9414,,Midway Elementary Network,Midway Elementary Network,Track E,Level 2,No,0,Scantron,Above Average,59.7%,64%,42.6%,59.6%,63.8%,71.7%,65.5%,61%,76%,51.7%,43.1%,64.4%,53.3%,64.3%,58.3%,Below Average,39.1%,47.4%,36.4%,23.4%,35.5%,40.6%,42.6%,37.4%,42.1%,47.7%,35.9%,31.7%,37.5%,50%,40.8%,61.9%,,,52.8%,,62.8%,57.9%,,,57.7%,,58%,Not Yet Organized,Neutral,Weak,Weak,Weak,Weak,Weak,52.6%,42.9%,2.1,2.1,94.8%,94.4%,95.6%,95.6%,No,No,,1158181.6048366313,1849398.2802686424,-87.696003,41.74248931,"(-87.696003, 41.74248931)"
609842,Carson,Rachel Carson Elementary School,5516 S Maplewood Ave,Chicago,IL,60629,(773) 535-9222,,Midway Elementary Network,Midway Elementary Network,Track E,Level 2,No,0,NWEA,Above Average,64.1%,64.2%,55%,63.8%,68.7%,62.6%,53.5%,61.5%,71.7%,60%,63.6%,64.7%,65.7%,76.5%,66.8%,Average,45.4%,42.1%,32.8%,50.5%,52.1%,55%,55.7%,47.3%,38.3%,32.3%,36.7%,52.1%,42%,59.8%,43.4%,,62.5%,,71.9%,59.9%,61.3%,,66.5%,,72.7%,63.1%,67.1%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Neutral,17.3%,22.1%,3.1,2.9,97.6%,96.2%,97.7%,98.2%,No,No,,1160271.6790777973,1867913.540110371,-87.68783576,41.79325514,"(-87.68783576, 41.79325514)"
609844,Carter,William W Carter Elementary School,5740 S Michigan Ave,Chicago,IL,60637,(773) 535-0860,,Burnham Park Elementary Network,Burnham Park Elementary Network,Standard,Level 3,Yes,6,Scantron,Below Average,44.8%,51.3%,27.3%,54.5%,48.1%,48.3%,35.1%,44.5%,64.1%,22.6%,60%,29.6%,43.3%,38.5%,45%,Far Below Average,29.4%,36.4%,8.3%,13%,29%,37.5%,24.4%,24.3%,36.4%,12.1%,43.5%,40.6%,30.3%,38.6%,34.5%,44.7%,,,,,44.2%,45.2%,,,,,44.7%,Partially Organized,Not Enough Data,Weak,Neutral,Not Enough Data,Not Enough Data,Very Weak,65.7%,62.4%,3.5,4.1,91.2%,91.9%,95.9%,94.9%,No,No,,1178101.3651541327,1866810.1227826776,-87.62248974,41.78984129,"(-87.62248974, 41.78984129)"
609845,"Carver , G",George Washington Carver Primary School,901 E 133rd Pl,Chicago,IL,60827,(773) 535-5674,http://www.carverprimary.cps.k12.il.us,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Track E,Level 3,Yes,5,Scantron,Average,47.3%,58.2%,41.2%,65.1%,48.2%,35.1%,55.3%,50.9%,57.7%,46%,60.5%,29.1%,27%,40%,43.6%,Far Below Average,24.3%,29.3%,20.8%,16.7%,17.5%,18.2%,38%,23.5%,27.6%,28.3%,31.3%,14%,20%,30%,25.1%,50.9%,,,33.3%,,51%,43.6%,,,34.4%,,43.8%,Not Yet Organized,Weak,Weak,Weak,Neutral,Neutral,Neutral,46.9%,38%,4.1,4.2,90.9%,91.2%,94.7%,94.8%,No,No,,1184786.4673300942,1817244.8959914942,-87.59952683,41.65367428,"(-87.59952683, 41.65367428)"
609848,Aldridge,Ira F Aldridge Elementary School,630 E 131st St,Chicago,IL,60827,(773) 535-5614,,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Track E,Level 3,Yes,6,Scantron,Below Average,38.5%,33.3%,25%,42.9%,56%,61.4%,52.2%,46.3%,23.1%,17.9%,17.9%,56%,34.9%,34.8%,30.6%,Far Below Average,19.8%,17.2%,9.4%,31%,25.9%,25.5%,25%,22.3%,7.1%,9.4%,20.7%,29.6%,17.4%,20.8%,17.2%,46.3%,,,,,46.2%,30.6%,,,,,31%,Well-organized,Neutral,Neutral,Strong,Strong,Strong,Weak,90.5%,98.8%,3.3,3.4,92.9%,91.9%,96.3%,94.9%,No,No,,1182870.293510211,1818598.1781407765,-87.60649623,41.65743243,"(-87.60649623, 41.65743243)"
609849,Cassell,George F Cassell Elementary School,11314 S Spaulding Ave,Chicago,IL,60655,(773) 535-2640,http://www.cassell.cps.k12.il.us,Rock Island Elementary Network,Rock Island Elementary Network,Track E,Level 2,No,0,NWEA,Above Average,60.1%,41.9%,53.3%,62.2%,80%,51.6%,65.2%,59%,57.1%,50%,37.8%,74.3%,73.3%,73.3%,61.2%,Above Average,59.1%,55.8%,62.5%,59.5%,63.9%,77.4%,71.7%,64.9%,64.3%,50%,40.5%,41.7%,60%,60%,53.2%,,,59.5%,55.6%,,53.8%,,,62.9%,51.1%,,64.1%,Well-organized,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,76.2%,59.4%,2.3,2.3,94.4%,94.9%,95.1%,94.2%,No,No,,1156350.4158051128,1829287.5196085835,-87.70325179,41.68733881,"(-87.70325179, 41.68733881)"
610213,Wadsworth,James Wadsworth Elementary School,6420 S University Ave,Chicago,IL,60637,(773) 535-0730,http://www.cuip.net/schools/wadsworth,Burnham Park Elementary Network,Burnham Park Elementary Network,Standard,Level 3,Yes,6,Scantron,Below Average,41%,58.3%,25%,33.3%,,,,37.5%,40%,39.3%,51.4%,,,,44.4%,Far Below Average,25%,48%,25%,16.7%,,,,28.1%,19.2%,10.7%,32.4%,,,,22%,37.9%,,,,,37.5%,43.8%,,,,,44.4%,Not Yet Organized,Weak,Not Enough Data,Not Enough Data,Very Weak,Weak,Not Enough Data,61.5%,58.6%,1.7,1.7,92.2%,90.8%,95.5%,95.6%,No,No,,1184773.873183073,1862597.1443757932,-87.59815597,41.77812652,"(-87.59815597, 41.77812652)"
